,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
1,,0.744,-0.753,-0.123,-0.265,0.437,-0.118,-0.054,0.394,-0.608,0.489,0.219,-0.07,-0.056,-0.477,-0.186
2,0.744,,-0.714,-0.022,-0.263,0.365,-0.062,-0.176,0.46,-0.609,0.595,0.177,-0.126,0.097,-0.495,-0.331
3,-0.753,-0.714,,-0.648,-0.146,-0.865,-0.842,-0.932,-0.843,-0.958,-0.816,-0.824,-0.915,-0.788,-0.958,-0.933
4,-0.123,-0.022,-0.648,,0.08,-0.29,-0.518,-0.688,-0.048,-0.862,-0.113,-0.196,-0.739,-0.48,-0.849,-0.781
5,-0.265,-0.263,-0.146,0.08,,-0.513,-0.623,-0.797,-0.552,-0.903,-0.534,-0.58,-0.757,-0.568,-0.868,-0.774
6,0.437,0.365,-0.865,-0.29,-0.513,,-0.191,-0.524,0.348,-0.832,0.246,0.203,-0.438,-0.278,-0.588,-0.349
7,-0.118,-0.062,-0.842,-0.518,-0.623,-0.191,,-0.019,-0.375,-0.143,-0.334,0.161,0.154,0.135,-0.059,-0.035
8,-0.054,-0.176,-0.932,-0.688,-0.797,-0.524,-0.019,,-0.447,-0.724,-0.331,-0.074,0.166,-0.261,-0.263,0.102
9,0.394,0.46,-0.843,-0.048,-0.552,0.348,-0.375,-0.447,,-0.83,0.861,0.12,-0.473,-0.055,-0.74,-0.572
10,-0.608,-0.609,-0.958,-0.862,-0.903,-0.832,-0.143,-0.724,-0.83,,-0.746,-0.499,-0.118,-0.481,0.067,-0.013
11,0.489,0.595,-0.816,-0.113,-0.534,0.246,-0.334,-0.331,0.861,-0.746,,0.17,-0.384,0.049,-0.718,-0.559
12,0.219,0.177,-0.824,-0.196,-0.58,0.203,0.161,-0.074,0.12,-0.499,0.17,,-0.233,-0.211,-0.498,-0.294
13,-0.07,-0.126,-0.915,-0.739,-0.757,-0.438,0.154,0.166,-0.473,-0.118,-0.384,-0.233,,-0.238,0.399,0.541
14,-0.056,0.097,-0.788,-0.48,-0.568,-0.278,0.135,-0.261,-0.055,-0.481,0.049,-0.211,-0.238,,-0.481,-0.326
15,-0.477,-0.495,-0.958,-0.849,-0.868,-0.588,-0.059,-0.263,-0.74,0.067,-0.718,-0.498,0.399,-0.481,,0.682
16,-0.186,-0.331,-0.933,-0.781,-0.774,-0.349,-0.035,0.102,-0.572,-0.013,-0.559,-0.294,0.541,-0.326,0.682,
